PopSize: 200 MutationProb: 0,25 CrossoverProb: 0,7 GenCount: 300 Tour: 4; Best; Avg; Worst;
1; 23600,2165565491; 28082,8696917915; 32832,7035598755;
2; 23046,4728889465; 26150,3930318356; 31711,7539978027;
3; 22714,5541725159; 24717,6122025776; 29540,9020309448;
4; 22605,9174842834; 23777,1992489624; 26611,2840309143;
5; 21399,4359016418; 23317,3957193184; 26084,5396080017;
6; 21227,3450279236; 22998,1908034706; 25456,7889671326;
7; 21154,9602394104; 22765,045033474; 25863,8580741882;
8; 21007,6420173645; 22348,5262691879; 25163,9326057434;
9; 19784,0540275574; 21905,3212018776; 25098,1343727112;
10; 19279,0591545105; 21475,9963131905; 24744,0342292786;
11; 19115,263469696; 21095,7605245972; 24517,4870986938;
12; 18736,8306236267; 20805,139708519; 23440,1742973328;
13; 18736,8306236267; 20424,6212436008; 24294,1452293396;
14; 18736,8306236267; 20095,8125673103; 23452,3932266235;
15; 17926,7331886292; 19859,3082719231; 23372,1973304749;
16; 17751,6418495178; 19504,1536553478; 22694,4247703552;
17; 17522,2999992371; 19252,4472642899; 23447,2116355896;
18; 17378,8423576355; 18890,3190977955; 21194,8708610535;
19; 17005,7978782654; 18697,8771614075; 22050,3181343079;
20; 17005,7978782654; 18439,5772329903; 23098,8378105164;
21; 16502,5060081482; 18317,8088454628; 21365,5730476379;
22; 16502,5060081482; 18071,1681910515; 21129,8282966614;
23; 16498,7385826111; 17869,3115611649; 19746,534538269;
24; 16106,1485099792; 17571,6969885254; 20033,809627533;
25; 16106,1485099792; 17224,9532882881; 20702,9529838562;
26; 16020,8857078552; 16922,2598284531; 19576,9509849548;
27; 15948,9950523376; 16770,0598872757; 19265,9850273132;
28; 15624,5282096863; 16736,1117705917; 18893,1980552673;
29; 15624,5282096863; 16704,6022577572; 19519,1961860657;
30; 15595,8505134583; 16631,6074040604; 19744,9195480347;
31; 15534,8993110657; 16602,2877178192; 19205,1185035706;
32; 15401,7495231628; 16544,1119999695; 19749,5716056824;
33; 15001,0559806824; 16510,3161491871; 18843,0271873474;
34; 14667,0825920105; 16438,8615549278; 19325,670665741;
35; 14493,2947349548; 16285,3986529922; 18644,4379920959;
36; 14493,2947349548; 16009,985698719; 18461,3289299011;
37; 14310,855381012; 15894,9214095879; 20505,9392204285;
38; 14302,5490379333; 15553,3948405361; 20463,0995330811;
39; 14078,7233467102; 15361,9110714912; 18071,2244796753;
40; 13834,146446228; 15054,3536828995; 18199,3273468018;
41; 13834,146446228; 14873,256725502; 17786,4490814209;
42; 13834,146446228; 14627,3335501862; 17994,4760856628;
43; 13636,7704734802; 14730,1049998093; 18084,9895515442;
44; 13636,7704734802; 14515,6542280197; 17341,561794281;
45; 13636,7704734802; 14374,9017898846; 16842,4262809753;
46; 13623,707660675; 14393,8542690659; 16776,2264022827;
47; 13368,3267097473; 14175,266680603; 17181,6555595398;
48; 13368,3267097473; 14041,095283699; 17122,102848053;
49; 13346,4907417297; 13855,8294688225; 15803,5459632874;
50; 12893,0329780579; 14088,3552733803; 16925,8627281189;
51; 12781,053653717; 13961,1372428131; 16391,974822998;
52; 12370,2442817688; 13898,5062380791; 17250,6020622253;
53; 12370,2442817688; 13572,3462724304; 18630,9661903381;
54; 12091,2842674255; 13482,0429504204; 16498,2340278625;
55; 12091,2842674255; 13395,1063888359; 16412,4097175598;
56; 11905,2386894226; 13241,3679334354; 15666,2543830872;
57; 11905,2386894226; 13233,1180929279; 16183,4572105408;
58; 11905,2386894226; 12966,1978474331; 16957,6182899475;
59; 11905,2386894226; 12813,8428967476; 16029,7462806702;
60; 11782,528093338; 12658,5525924683; 16223,5626602173;
61; 11766,8463516235; 12626,6065704441; 16434,997959137;
62; 11766,8463516235; 12594,5896947479; 15016,7918968201;
63; 11506,6824226379; 12521,6282445812; 15011,5234146118;
64; 11506,6824226379; 12469,1368353176; 14898,8234672546;
65; 11506,6824226379; 12398,1012460136; 14599,1279945374;
66; 11431,7717781067; 12263,5006004334; 15888,9321594238;
67; 11431,7717781067; 12139,8725958538; 15301,1655082703;
68; 11348,0394325256; 11877,6898199844; 14113,6539916992;
69; 11348,0394325256; 12146,7854680252; 15286,2329444885;
70; 11348,0394325256; 12142,8733975983; 14693,9953727722;
71; 11348,0394325256; 11943,3873185539; 14299,3511390686;
72; 10917,2712593079; 11793,9780051041; 14955,0391349792;
73; 10917,2712593079; 11865,1064511108; 15733,3283882141;
74; 10870,034576416; 12067,0238703918; 15135,3060874939;
