30712,42884;;Worst;Best;AVG;STD
31353,08192;;;;;
29423,0378;;;;;
28055,16383;;;;;
29320,71526;;;;;
28872,02448;;;;;
29151,5311;;;;;
30191,4709;;;;;
30494,2253;;;;;
31783,96746;;;;;
28580,88043;;;;;
28080,78268;;;;;
27400,13562;;;;;
29411,81744;;;;;
29029,63223;;;;;
28581,41666;;;;;
30441,65141;;;;;
30851,63607;;;;;
31351,57648;;;;;
33462,95997;;;;;
30012,85605;;;;;
29427,00658;;;;;
29517,56833;;;;;
31698,66337;;;;;
28800,7801;;;;;
29520,3213;;;;;
28122,78779;;;;;
28127,18586;;;;;
25069,0776;;;;;
26595,19804;;;;;
26076,90504;;;;;
28266,99653;;;;;
27774,61299;;;;;
30522,81603;;;;;
28642,68535;;;;;
31770,06914;;;;;
29211,14582;;;;;
27496,80752;;;;;
29702,18958;;;;;
29999,1262;;;;;
24616,49458;;;;;
31833,30879;;;;;
31182,81423;;;;;
27765,36465;;;;;
27436,41707;;;;;
30892,79588;;;;;
29523,3783;;;;;
31246,31103;;;;;
28288,3863;;;;;
27953,7354;;;;;
30216,46301;;;;;
29785,06235;;;;;
30445,2701;;;;;
28304,1478;;;;;
27918,51776;;;;;
30963,48836;;;;;
29798,35269;;;;;
31842,47873;;;;;
27657,88558;;;;;
30122,12256;;;;;
28330,34245;;;;;
32770,52795;;;;;
30318,9042;;;;;
30886,99593;;;;;
27365,90152;;;;;
31805,64051;;;;;
29842,32454;;;;;
28115,78433;;;;;
31720,38744;;;;;
30600,83858;;;;;
28700,6384;;;;;
30579,82713;;;;;
27900,60691;;;;;
30212,50504;;;;;
29797,21986;;;;;
30906,26884;;;;;
27964,52736;;;;;
31337,85484;;;;;
31576,34462;;;;;
28924,71978;;;;;
30826,79061;;;;;
31934,03524;;;;;
28231,96937;;;;;
32169,60722;;;;;
32190,51872;;;;;
30785,28641;;;;;
27092,06574;;;;;
28629,54781;;;;;
28304,87708;;;;;
29531,39579;;;;;
27945,31702;;;;;
28098,31534;;;;;
30603,18531;;;;;
31417,48023;;;;;
29663,82738;;;;;
29861,01744;;;;;
31076,40849;;;;;
28162,70674;;;;;
28894,26086;;;;;
28342,12819;;;;;
28818,60426;;;;;
29008,23135;;;;;
32716,70958;;;;;
29016,08627;;;;;
29775,8154;;;;;
29632,02766;;;;;
32908,23535;;;;;
31458,84675;;;;;
25944,87507;;;;;
29206,4704;;;;;
30481,75038;;;;;
29898,45649;;;;;
30492,67667;;;;;
29500,40896;;;;;
29666,04716;;;;;
30674,02316;;;;;
29260,33596;;;;;
29354,43604;;;;;
29589,09637;;;;;
30385,42992;;;;;
30400,11716;;;;;
26123,13369;;;;;
28546,16591;;;;;
26971,74956;;;;;
29858,44746;;;;;
30105,55063;;;;;
29475,44164;;;;;
29019,73444;;;;;
28278,69284;;;;;
28421,0187;;;;;
28729,83588;;;;;
32369,27906;;;;;
33493,20869;;;;;
32006,52155;;;;;
26727,74606;;;;;
29561,29764;;;;;
31074,57131;;;;;
27019,0284;;;;;
28232,58996;;;;;
27352,67934;;;;;
28572,5098;;;;;
30713,33793;;;;;
26659,53052;;;;;
28983,09201;;;;;
27059,83589;;;;;
31733,84114;;;;;
30480,66508;;;;;
30063,96204;;;;;
28549,85751;;;;;
31729,31374;;;;;
28317,74712;;;;;
30465,27093;;;;;
29879,64091;;;;;
30264,83473;;;;;
28811,84243;;;;;
29797,46346;;;;;
31706,20277;;;;;
28855,09641;;;;;
30885,84622;;;;;
28400,76093;;;;;
31851,45686;;;;;
31757,5742;;;;;
26080,78455;;;;;
30060,63466;;;;;
27876,76196;;;;;
28692,42743;;;;;
29557,09682;;;;;
31629,03303;;;;;
32270,43647;;;;;
30722,11529;;;;;
30333,89613;;;;;
25663,36728;;;;;
27127,34165;;;;;
30171,26964;;;;;
29495,43322;;;;;
28392,66459;;;;;
29778,18774;;;;;
29444,38074;;;;;
28112,17289;;;;;
28029,88663;;;;;
29134,02608;;;;;
30526,25621;;;;;
29047,10472;;;;;
31772,0008;;;;;
30256,13772;;;;;
29566,54633;;;;;
29562,57764;;;;;
30537,69938;;;;;
30188,74129;;;;;
28986,10114;;;;;
30876,23697;;;;;
28418,31477;;;;;
27217,026;;;;;
29073,67244;;;;;
29741,27028;;;;;
28511,21652;;;;;
28763,39443;;;;;
29736,35154;;;;;
32400,81218;;;;;
32033,1302;;;;;
29979,72993;;;;;
32265,46028;;;;;
27622,4692;;;;;
30816,5762;;;;;
30831,19752;;;;;
27118,04116;;;;;
30802,61256;;;;;
30231,70418;;;;;
31735,03847;;;;;
30123,66112;;;;;
31176,13387;;;;;
28099,44244;;;;;
29877,96807;;;;;
29517,57728;;;;;
30414,48764;;;;;
29175,50645;;;;;
