PopSize: 400 MutationProb: 0,4 CrossoverProb: 0,7 GenCount: 500 Tour: 8; Best; Avg; Worst;
1; 139145,934387207; 161255,321626606; 179762,391357422;
2; 135258,225326538; 150161,346355882; 176103,44241333;
3; 134029,471450806; 142618,918643656; 164490,788665771;
4; 130010,918121338; 138663,617847986; 148813,738449097;
5; 124719,453903198; 135110,909307871; 147240,321914673;
6; 123302,111351013; 131613,428608236; 145411,623794556;
7; 120809,321464539; 127974,278516355; 140956,083618164;
8; 118557,673332214; 126030,451123142; 139943,265213013;
9; 112637,788162231; 123949,229845185; 137607,163345337;
10; 112033,07649231; 121614,576499205; 134193,098167419;
11; 110859,523399353; 119316,703421564; 134173,312072754;
12; 107685,236419678; 116951,783727069; 130899,564788818;
13; 105268,155822754; 115060,073546319; 127824,472442627;
14; 105267,994262695; 113863,070285363; 128092,034667969;
15; 103331,008087158; 112083,615408211; 127630,609924316;
16; 100457,657012939; 110082,619158521; 125017,098091125;
17; 100457,657012939; 107592,340871668; 122265,252807617;
18; 99069,2431335449; 106079,546844645; 118191,202804565;
19; 97139,0223083496; 104019,392956877; 118252,159744263;
20; 94121,0783309937; 102359,245541878; 114192,710632324;
21; 92562,9356384277; 100777,399374347; 110336,773544312;
22; 91926,9773483276; 99456,5676636982; 110025,01373291;
23; 90223,029800415; 98377,1804461765; 110409,868667603;
24; 89625,60597229; 96461,8229568195; 107051,013565063;
25; 88837,0263366699; 94159,9284368181; 107221,335952759;
26; 87387,0433654785; 92335,9369246006; 102342,77217865;
27; 85447,7052307129; 91823,8744001532; 100599,403793335;
28; 84997,4608459473; 90970,1248653412; 102059,112258911;
29; 83324,1499099731; 89983,7069090176; 98910,8550567627;
30; 83324,1499099731; 89174,0400564671; 98674,3381652832;
31; 82221,2110061646; 88255,7154114914; 97932,0472717285;
32; 80882,0680141449; 86671,0302030086; 95898,9036865234;
33; 80656,9001464844; 85172,0039357615; 96209,6356582642;
34; 80028,9698390961; 84476,6900571346; 94584,9099960327;
35; 78549,7383117676; 83924,9366366434; 93297,8806762695;
36; 77515,1711120605; 83033,6619818306; 94107,3389968872;
37; 76903,7997283936; 81132,7499444389; 92763,4507980347;
