PopSize: 400 MutationProb: 0,4 CrossoverProb: 0,7 GenCount: 500 Tour: 8; Best; Avg; Worst;
1; 140796,547912598; 158420,333381395; 191311,648590088;
2; 137437,207000732; 149887,561661477; 167197,9947052;
3; 133849,819534302; 146932,139278994; 163582,877700806;
4; 131854,552124023; 143906,183376236; 164975,729484558;
5; 128899,098548889; 140093,90381012; 157804,07043457;
6; 124413,671722412; 135945,844720602; 158526,433395386;
7; 118569,299224854; 132486,618609905; 151826,013206482;
8; 118569,299224854; 129706,827982416; 146250,808685303;
9; 116015,906036377; 125928,702649727; 141744,303070068;
10; 113782,927658081; 121930,791959529; 133589,10067749;
11; 110963,800109863; 118415,934530783; 131591,06578064;
12; 109677,706665039; 117074,825425868; 129451,182754517;
13; 107157,610900879; 115229,060203133; 127900,949195862;
14; 105632,274177551; 113997,710847635; 125894,484062195;
15; 103629,894378662; 112407,849327335; 125706,735107422;
16; 102345,635047913; 111806,026737165; 126666,542915344;
17; 102345,635047913; 110162,276273894; 124393,757553101;
18; 101357,84929657; 108492,471482353; 124933,645019531;
19; 99894,7928543091; 106676,504058967; 119499,03427124;
20; 95697,8966903687; 104254,083928571; 116948,369216919;
21; 95022,5266189575; 102601,136746063; 115381,264961243;
22; 93703,0539779663; 100769,969281101; 112773,977577209;
23; 92410,7093276978; 98673,5556579685; 110106,867591858;
24; 91730,3886947632; 96817,0287777424; 110225,124732971;
25; 86661,9834365845; 94817,056583786; 110633,716850281;
26; 86162,3358383179; 94388,4637963486; 108835,224662781;
27; 86162,3358383179; 93038,1364103508; 106547,355201721;
28; 83273,4924697876; 90410,0530111027; 100997,031524658;
29; 81915,2470779419; 88646,691670742; 99192,2858657837;
30; 81915,2470779419; 86871,802697897; 96152,6605606079;
31; 80766,5701980591; 84740,7262046337; 96094,3186416626;
32; 80335,7962875366; 84394,799321909; 95030,0240859985;
33; 79083,7736663818; 83487,6315535164; 90975,8805465698;
34; 77861,4953918457; 82443,1067567778; 91344,1950149536;
35; 77576,0693969727; 82140,9853146744; 95561,2685165405;
36; 74306,1324157715; 80609,1999537993; 90389,7795715332;
37; 74023,7704925537; 79262,818328228; 88128,5268707275;
38; 72787,1461791992; 78415,9259352112; 89282,3711853027;
39; 72187,0270671844; 77445,7259952927; 86878,950756073;
40; 70327,1402873993; 76580,5532512856; 87997,9445800781;
41; 70327,1402873993; 75240,2236523247; 84768,5139064789;
42; 68955,8112468719; 74009,9524269628; 82718,7074108124;
43; 67819,8555660248; 72557,5232419205; 82270,6642818451;
44; 67819,8555660248; 71203,3345399046; 79743,4691753387;
45; 66677,9097270966; 70898,0817688751; 79492,8137950897;
46; 66356,7171611786; 70604,4369751358; 79969,7340297699;
47; 66182,6509151459; 70007,0508314991; 79751,9002437592;
48; 64917,4189167023; 69841,8110404539; 82560,0450267792;
49; 63613,1802959442; 69616,9267130136; 79693,078245163;
50; 63613,1802959442; 69134,013268857; 78273,2357692719;
51; 62782,2862262726; 67939,0427630711; 77342,1025905609;
52; 62125,229642868; 66641,5295061397; 79116,7646083832;
53; 62125,229642868; 65563,5684943151; 76747,5629558563;
54; 60052,1461677551; 64877,4287310505; 75056,772026062;
55; 59960,2710208893; 64723,4043465757; 75579,4831943512;
56; 59211,0955448151; 63564,0602536631; 76174,3607692719;
57; 58906,2279338837; 63016,0144712353; 72019,7397861481;
58; 58334,8006534576; 61571,1781389809; 71387,7235202789;
59; 57294,0121860504; 61203,0229137278; 70774,3312034607;
60; 57294,0121860504; 60648,9336165619; 67836,2061290741;
61; 56795,0988254547; 59891,5184716654; 70086,1269569397;
62; 55371,0170688629; 59376,2564571238; 68793,021188736;
63; 55371,0170688629; 59107,2008061886; 68383,6107273102;
64; 55371,0170688629; 58405,1135210323; 68280,175447464;
65; 54937,8567905426; 58292,4026169872; 67098,0800113678;
66; 54114,7918567657; 58121,6135699034; 68587,2067890167;
67; 54114,7918567657; 57902,4309352398; 66968,9345645905;
68; 54097,9716358185; 58059,7614902258; 69214,3918552399;
69; 53399,7659168243; 57678,6055624676; 69055,2083835602;
70; 53399,7659168243; 56496,9886195135; 64755,2771701813;
71; 52643,8146686554; 56077,2606774855; 65257,9954547882;
72; 52643,8146686554; 56301,75713058; 69913,4496479034;
73; 52237,5986042023; 56192,5824713135; 70901,6635913849;
74; 51765,7118854523; 55940,6465765905; 67798,2823886871;
75; 51765,7118854523; 54868,9598818111; 65524,4333362579;
76; 50967,1576251984; 55208,6796500587; 63888,1869983673;
77; 50765,9943256378; 55430,053798027; 64769,9049568176;
78; 50670,0608463287; 54514,2632907104; 67260,5250263214;
79; 50670,0608463287; 54162,528955121; 64442,4408435822;
80; 50620,9225406647; 54252,7873042345; 66010,0924015045;
81; 50200,839258194; 53961,587616291; 64332,5247592926;
82; 50200,839258194; 52927,2338732004; 64056,8726444244;
83; 49688,5631961823; 52955,1684583616; 62335,4187793732;
84; 49453,7333660126; 53142,5651881981; 62083,7439975739;
85; 48401,4428501129; 52591,0457290554; 62494,6477298737;
86; 48401,4428501129; 52273,0150710201; 61424,097536087;
87; 48401,4428501129; 52626,8102439737; 63260,4107456207;
88; 48401,4428501129; 52377,3257371569; 61414,0716495514;
89; 48316,0964603424; 52200,7905938721; 62854,7901554108;
90; 48316,0964603424; 52310,6473949623; 60982,0432186127;
91; 47677,8579807281; 51181,4985992861; 63186,7196025848;
92; 47448,0419712067; 50685,8726120186; 60420,4831409454;
93; 47274,0437335968; 50641,4560855865; 62204,4098529816;
94; 47274,0437335968; 50806,6587747097; 61996,1711673737;
95; 46874,6673069; 50781,4840540981; 60085,829706192;
96; 46874,6673069; 50522,0233236122; 59744,9669589996;
