PopSize: 400 MutationProb: 0,4 CrossoverProb: 0,7 GenCount: 500 Tour: 8; Best; Avg; Worst;
1; 140620,789970398; 161917,865395179; 182604,041996002;
2; 133622,553421021; 152180,77997591; 175633,281982422;
3; 131229,715866089; 147121,4581043; 165926,90473938;
4; 126456,163040161; 142516,348847075; 164119,380096436;
5; 124020,578155518; 136711,503472843; 156969,33656311;
6; 123566,71812439; 133155,616761484; 149569,043838501;
7; 121151,676803589; 130437,378577452; 145095,632781982;
8; 116878,677444458; 126605,307930651; 140574,991744995;
9; 116850,138656616; 124773,24579381; 137168,108505249;
10; 114487,069282532; 122504,790201597; 135886,656417847;
11; 112558,519180298; 120244,974264159; 136418,967056274;
12; 109161,835205078; 118701,085281734; 130094,253890991;
13; 106625,519191742; 116614,889414058; 128374,594161987;
14; 104100,793510437; 113692,771988873; 126520,159225464;
15; 100605,096496582; 110056,611416187; 123567,284547806;
16; 99559,5706863403; 107302,754600716; 120185,677818298;
17; 96616,8157730103; 104597,955183191; 117325,641067505;
18; 96616,8157730103; 103009,136451044; 115199,791374207;
19; 91112,1134872437; 101353,948790617; 116838,100944519;
20; 91112,1134872437; 99748,1007215834; 111815,497413635;
21; 91037,5212936401; 97927,9162313557; 108909,672920227;
22; 89574,6062393188; 95823,6702987766; 108159,253097534;
23; 88375,992149353; 93710,4423888254; 108401,215927124;
24; 87043,8609085083; 92767,2171940327; 104792,909423828;
25; 87043,8609085083; 92428,4129931736; 103468,217002869;
26; 84567,0213699341; 91585,1912030792; 102657,57925415;
27; 84567,0213699341; 90738,9280015564; 105210,579910278;
28; 82804,5178146362; 90031,9227438784; 102705,63734436;
29; 82700,6583023071; 88948,8227700996; 99046,6427154541;
30; 80940,1076431274; 87263,5383762646; 102893,155456543;
31; 80082,9247512817; 85405,0496426916; 97076,3810806274;
32; 79483,1835250854; 84440,4906931686; 92588,6502838135;
33; 76600,3526535034; 84016,0136500549; 94570,1147842407;
34; 76600,3526535034; 83212,4604136372; 94625,5184860229;
35; 76269,2673873901; 82138,551925745; 93290,4881362915;
36; 74200,7722091675; 80801,2781108904; 89744,0158462524;
37; 74081,780418396; 78660,9330887032; 90398,4484634399;
38; 74005,9899215698; 77798,4419938994; 87195,9688339233;
39; 72577,3072128296; 77053,9267540646; 89194,8095169067;
40; 70391,8556289673; 75938,6679915333; 85399,3954391479;
41; 69868,2158584595; 75145,0957042408; 83369,8534164429;
42; 68887,3824234009; 73768,4932561827; 84908,7863922119;
43; 66766,5601024628; 72355,6109950972; 81269,9892044067;
44; 66766,5601024628; 72092,2658456183; 81713,9651260376;
45; 65770,893737793; 71935,1357376289; 82687,3705215454;
46; 65121,5871582031; 70803,5309066153; 80461,5096054077;
47; 64521,4367980957; 69223,9548424244; 79317,8324050903;
48; 64144,8464050293; 67977,3431955195; 76553,7855529785;
49; 63710,8088684082; 67266,7597256422; 78150,0264892578;
50; 62814,9963378906; 66355,3794089747; 76161,7452087402;
51; 62441,2880554199; 66240,0752017212; 78389,9505004883;
52; 61173,0771636963; 65472,9595023537; 77260,5432128906;
53; 61173,0771636963; 64885,0745632458; 74132,9167098999;
54; 60448,1023025513; 64161,6558953285; 72184,3929443359;
55; 59898,3822555542; 63686,7879275894; 72019,6536407471;
56; 59898,3822555542; 63195,8582284164; 71973,279083252;
57; 59159,1648788452; 62832,6315360451; 73804,8629074097;
58; 58960,1128997803; 62154,9534473038; 71672,4168167114;
59; 57580,1542282104; 62091,9991953754; 71351,6249923706;
60; 57580,1542282104; 61844,4577898598; 70875,0445556641;
61; 57142,7768173218; 61760,5799253702; 72910,7559051514;
62; 56844,4863204956; 60809,8821224976; 73570,1722335815;
63; 56401,1498031616; 59781,1161885834; 71308,1762695313;
64; 55879,1664962769; 58613,4233447218; 70190,2327804565;
65; 55878,3402175903; 58135,7556173706; 70462,3553237915;
66; 54605,5182418823; 57963,7293451023; 66211,0536270142;
67; 54199,5028686523; 57967,9820696449; 65891,8742446899;
68; 54199,5028686523; 57912,7217273903; 68436,4852981567;
69; 54031,3551101685; 57795,497998848; 70768,5087051392;
70; 53983,8599853516; 57003,114046917; 69369,0952987671;
71; 53253,1856460571; 56080,7971602154; 65702,5246429443;
72; 52766,364440918; 56186,9440731621; 66320,7104644775;
73; 51386,4216461182; 56217,5147675085; 66308,897354126;
74; 51386,4216461182; 55877,4702689362; 67149,7021713257;
75; 51386,4216461182; 55031,7048042107; 64703,9758987427;
76; 50772,9556427002; 54636,9302139616; 62700,3804092407;
77; 50772,9556427002; 54364,8825615835; 63884,9961166382;
78; 49793,1806945801; 53197,6875212479; 62500,5701599121;
79; 49793,1806945801; 52652,0920931816; 61835,3236236572;
80; 49629,6264457703; 52604,7439627266; 67072,3636932373;
81; 49564,2046203613; 53155,4067017841; 63780,0629425049;
82; 49564,2046203613; 53608,965790987; 62864,6963806152;
83; 48917,4660606384; 52612,0749675608; 63308,8100891113;
84; 48917,4660606384; 50905,4645260715; 59425,9175872803;
85; 47738,5610466003; 50936,6545822525; 58076,4422149658;
86; 47738,5610466003; 50542,0399797249; 59811,0600585938;
87; 47379,0953407288; 49971,8504130936; 58070,5894126892;
88; 47202,4646720886; 49736,8240447426; 61554,7016868591;
89; 46793,0648536682; 48806,7221261215; 56262,3280563354;
90; 46618,3147010803; 49117,8032431507; 58496,456035614;
91; 46618,3147010803; 49908,2922654247; 57944,0900306702;
92; 46254,7760353088; 50123,59244771; 58221,8629684448;
93; 46254,7760353088; 49955,7524191046; 58824,9036521912;
94; 46194,1636543274; 49907,7752567482; 58880,8987312317;
95; 45717,0185279846; 49070,3141367769; 58604,6253166199;
96; 44302,695514679; 49175,7412786674; 60082,3518562317;
97; 44302,695514679; 49109,2788157606; 58742,0949134827;
98; 44302,695514679; 48904,7867526245; 57904,3679008484;
99; 44302,695514679; 48652,6226043892; 60262,7037239075;
100; 43369,7074775696; 47831,5072186756; 56916,8948860168;
101; 43369,7074775696; 47007,0233412838; 57524,1960334778;
102; 42783,6971168518; 45905,5571856594; 56327,456401825;
103; 42727,2796211243; 46283,9067606115; 58434,5125389099;
104; 42727,2796211243; 44871,187616787; 55649,957233429;
105; 42727,2796211243; 44618,774829998; 54736,9813575745;
106; 42141,2692604065; 45163,2450527477; 57111,937412262;
107; 42141,2692604065; 44904,3399243546; 53909,4311408997;
108; 41971,8843421936; 44621,2003605556; 53399,5365715027;
109; 41971,8843421936; 43885,2874413204; 51801,0517463684;
110; 41877,6341590881; 43705,7442856312; 53911,0544624329;
111; 41580,125629425; 43689,8187176228; 53707,6164894104;
112; 41580,125629425; 44050,3702065897; 52401,6256446838;
113; 41498,0107765198; 44226,9214846516; 54089,3634757996;
114; 41287,8244361877; 44502,2137610054; 53406,6901283264;
115; 41262,8019447327; 44573,4987444973; 56938,607509613;
116; 41071,2535667419; 44333,3275977421; 54100,9300575256;
117; 41071,2535667419; 44776,9959357452; 56751,6588859558;
118; 41071,2535667419; 44524,0317387962; 57531,7447319031;
119; 40780,8710670471; 44379,9237231064; 57653,6113471985;
120; 40700,3798103333; 43920,4350755739; 55702,9288444519;
121; 40225,6938819885; 42993,672309351; 54230,2481956482;
122; 39702,1049232483; 43008,0636097431; 55367,6370887756;
123; 39702,1049232483; 42873,4922541904; 51888,5072669983;
124; 39702,1049232483; 43249,1867106628; 57053,4740257263;
125; 38765,6727790833; 42782,358163538; 54457,0738563538;
126; 38765,6727790833; 41382,556137619; 54152,6139945984;
127; 38765,6727790833; 41464,3295600986; 52724,0345802307;
128; 38648,7510871887; 40955,2742093658; 51791,1841468811;
129; 38430,3056678772; 40763,4260369778; 47951,8933296204;
130; 37747,454914093; 40062,8967775249; 48183,8722114563;
131; 37747,454914093; 40318,8303932762; 50975,0660514832;
132; 37747,454914093; 39832,2431613111; 46088,0096549988;
133; 37388,352191925; 39589,744786067; 48006,1311683655;
134; 37388,352191925; 39838,455672698; 47976,8826255798;
135; 37388,352191925; 39826,9693921518; 50031,4560203552;
136; 36776,0836830139; 39980,9271205521; 49386,4557685852;
137; 36776,0836830139; 39651,6154314613; 49823,9177894592;
138; 36776,0836830139; 39116,1157510996; 47388,4357795715;
139; 36776,0836830139; 39001,4337493896; 50808,2623558044;
140; 36776,0836830139; 39716,2037590122; 51133,4752922058;
141; 36776,0836830139; 39912,2486927509; 49029,6790962219;
142; 36696,3536720276; 38221,0591157436; 47471,6083641052;
143; 36288,8426246643; 38119,4409914017; 49365,550945282;
144; 36288,8426246643; 38640,1469039249; 49965,0392341614;
145; 36208,1436805725; 37887,6529788113; 48913,183681488;
146; 35799,5700721741; 37921,894142189; 48158,4037361145;
147; 35514,6427650452; 37735,4468499756; 49682,8275337219;
148; 35514,6427650452; 37673,1690651131; 47973,043674469;
149; 35514,6427650452; 37490,4780552101; 47419,1932449341;
150; 34823,2424354553; 38467,8249724579; 47818,039188385;
151; 34823,2424354553; 37849,1052706242; 47943,6163978577;
152; 34559,607334137; 37295,6769136715; 49387,9216575623;
153; 34559,607334137; 36906,844824934; 46005,0907936096;
154; 34529,8311347961; 36859,2924154186; 48965,343875885;
155; 34164,4398384094; 35989,9101878452; 48310,7857093811;
156; 34164,4398384094; 35695,9543954372; 41634,9237861633;
157; 33960,5652961731; 35838,3967228985; 45645,5040245056;
158; 33960,5652961731; 35542,1327572918; 45278,5001754761;
159; 33595,1739997864; 35119,5977510548; 41678,7973823547;
160; 33315,7076454163; 35104,4561318398; 41286,8340187073;
161; 33315,7076454163; 35075,8410221577; 41464,3069038391;
162; 32938,3028907776; 35719,8021606398; 47945,2559242249;
163; 32938,3028907776; 35477,3325154877; 45485,6563606262;
164; 32838,9958229065; 35278,3548907185; 43455,0388374329;
165; 32771,4086036682; 35333,2795827913; 43514,2823677063;
166; 32771,4086036682; 35213,687282939; 45131,7700996399;
167; 32771,4086036682; 35876,6936770916; 45405,1300544739;
168; 32771,4086036682; 35828,4444371223; 46757,7977790833;
169; 32759,3951454163; 35840,8918731833; 45017,8381538391;
170; 32759,3951454163; 34356,5255168056; 42861,5196266174;
171; 32384,29114151; 34595,1509931946; 42895,9338417053;
172; 32384,29114151; 34929,6751364517; 46067,1611824036;
173; 32384,29114151; 34774,9404622841; 46627,3374061584;
174; 32384,29114151; 34890,5781383038; 45100,9686470032;
175; 32154,2657814026; 35265,8741144037; 45108,1861228943;
176; 32077,3615684509; 34143,331665678; 43653,2319374084;
177; 31944,2074775696; 33733,3395236683; 41647,7791481018;
178; 31673,2709388733; 34380,8747210979; 45558,2684898376;
179; 31601,7735939026; 34069,9903201294; 43948,4131660461;
180; 31417,3220252991; 33734,2552130699; 43874,1382408142;
181; 31204,7175941467; 33400,0570770264; 43984,8581504822;
182; 31171,8367652893; 33122,7570834732; 42962,2132759094;
183; 31171,8367652893; 32909,5322536373; 43498,44764328;
184; 31171,8367652893; 33169,7589736986; 45943,7221870422;
185; 30768,5296363831; 32809,5484289551; 42660,7844734192;
186; 30584,0780677795; 32831,7816489124; 42740,8667945862;
187; 30584,0780677795; 32540,4783850527; 42678,6078681946;
188; 30584,0780677795; 32404,1123034811; 43453,0574302673;
189; 30287,4386863709; 32417,3147498512; 43691,0759391785;
190; 30287,4386863709; 32366,6151566553; 42061,0751991272;
191; 30287,4386863709; 31997,868465867; 39566,4892463684;
192; 30068,0433387756; 32161,8961481667; 40321,5134315491;
193; 30068,0433387756; 31642,1612331533; 42878,3036231995;
194; 30068,0433387756; 31946,8235376358; 40226,9071846008;
195; 30068,0433387756; 32363,3063963604; 42573,0759086609;
196; 29672,8750343323; 32147,6797450447; 42767,6699180603;
197; 29672,8750343323; 31621,5117769241; 38525,6160316467;
198; 29672,8750343323; 32314,7771831894; 43766,99842453;
199; 29672,8750343323; 31834,7654942513; 40736,3181266785;
200; 29672,8750343323; 32016,7944735527; 42370,089389801;
201; 29672,8750343323; 32621,4083555698; 42780,495136261;
202; 29672,8750343323; 32491,2011234379; 41526,5891609192;
203; 29232,7913703918; 31963,7430034828; 42559,4336128235;
204; 29232,7913703918; 31218,7334889984; 40988,2060966492;
