PopSize: 400 MutationProb: 0,4 CrossoverProb: 0,7 GenCount: 500 Tour: 8; Best; Avg; Worst;
1; 144176,273262024; 159607,705360994; 179989,581710815;
2; 140687,72971344; 153741,999979162; 169130,83430481;
3; 136002,787765503; 149794,321307678; 172561,461898804;
4; 134403,082839966; 144917,744316735; 164473,04347229;
5; 125726,470855713; 139693,222713275; 157918,609603882;
6; 122376,903167725; 135931,386749616; 151803,922409058;
7; 116352,53137207; 131751,188927078; 146773,301834106;
8; 116352,53137207; 125610,022554946; 139469,424530029;
9; 114007,907012939; 122654,54039916; 133353,976913452;
10; 111655,585876465; 119589,866973433; 131096,860595703;
11; 110481,114364624; 115964,124472723; 125605,457061768;
12; 108817,398086548; 113872,744249811; 129051,80758667;
13; 106344,297744751; 112292,769779463; 123702,839523315;
14; 103345,526473999; 111427,609838791; 122566,643218994;
15; 103345,526473999; 110524,000413418; 123235,918457031;
16; 101966,186569214; 109580,512411819; 121979,405532837;
17; 99620,8378982544; 106911,786026187; 118020,641525269;
18; 95763,8462295532; 104751,939896789; 118390,064743042;
19; 94365,8021011353; 103044,916746073; 116064,364944458;
20; 94365,8021011353; 99386,2878179169; 112566,545944214;
21; 92575,9077224731; 97360,1674360085; 106160,276893616;
22; 91334,7719497681; 96700,019634285; 106828,126319885;
23; 89822,0596694946; 95501,3600486565; 107164,123466492;
24; 85055,1454849243; 93823,9527479744; 109013,309768677;
25; 84338,3083267212; 92188,6896739149; 104897,482551575;
26; 83672,4944229126; 91476,0204889011; 102101,038978577;
27; 83339,5900192261; 88813,0846727848; 100640,220619202;
28; 82086,0891494751; 86494,694137125; 98186,9936447144;
29; 81671,0402908325; 85742,9484138393; 95373,5166549683;
30; 79928,541847229; 85481,7121243477; 93510,9653701782;
31; 79928,541847229; 84992,4423593712; 93104,7071151733;
32; 79928,541847229; 84161,4683658695; 94949,5912857056;
33; 79012,1276016235; 83470,056717267; 92497,0081253052;
34; 78067,2040176392; 82296,3046764946; 92175,4549942017;
35; 76569,8090591431; 81210,691685791; 90349,9931488037;
36; 76569,8090591431; 81304,6785216856; 92624,0035247803;
37; 75195,8497695923; 80802,5285327721; 88436,6483306885;
38; 75195,8497695923; 80092,9312690163; 91061,7060775757;
39; 74483,5553970337; 78793,6968352318; 90442,596572876;
40; 73939,5726089478; 78369,9494552612; 88731,4869766235;
41; 72921,229057312; 78143,5586210346; 88532,5501174927;
42; 71834,1033859253; 77751,4952439022; 90064,1254348755;
43; 71834,1033859253; 76635,0576193523; 86240,998085022;
44; 71834,1033859253; 75615,608767004; 85796,5144729614;
45; 71223,2416610718; 75136,6856474686; 84028,3480148315;
46; 69902,1056022644; 74232,2281609345; 85496,8326263428;
47; 69842,3191146851; 73348,3567866611; 86311,7097854614;
48; 69205,7672729492; 73566,6612582111; 84122,7196884155;
49; 68939,9093399048; 73021,3770398998; 82971,3997268677;
50; 66245,479637146; 72171,3461984205; 85135,4980392456;
51; 65382,6413574219; 71885,4147039604; 83050,2513504028;
52; 65382,6413574219; 71509,3829436684; 83433,503288269;
53; 65382,6413574219; 70931,1212403011; 83976,8068618774;
54; 64028,781211853; 70001,9640726042; 81000,2843551636;
55; 64028,781211853; 69016,3144750261; 77517,4949417114;
56; 63949,8377609253; 68035,6333695698; 76023,5584945679;
57; 63949,8377609253; 68377,5490475607; 78088,8712005615;
58; 63075,0262756348; 67371,5370190764; 77903,074256897;
59; 61758,3019714355; 66636,9539418602; 78318,2965011597;
60; 61660,327331543; 66054,33985672; 74462,3409805298;
61; 61194,3735351563; 66020,9913942146; 77669,02293396;
62; 60792,3159866333; 64943,4580556107; 75807,7818374634;
63; 60613,7069854736; 63186,1178352356; 76894,4599380493;
64; 60233,663520813; 62899,968136158; 75393,8319702148;
65; 59896,8617248535; 63699,1489217472; 72222,7977371216;
66; 59896,8617248535; 63105,7717221165; 72588,7585067749;
67; 59395,2574310303; 62838,8161676407; 74073,4900360107;
68; 58608,4917068481; 62703,8502123499; 73581,3867492676;
69; 58608,4917068481; 62592,8617583132; 73087,9057998657;
70; 58608,4917068481; 62606,6569573784; 76074,6942749023;
71; 58028,1879043579; 62290,5089279985; 73011,6940841675;
72; 58028,1879043579; 61752,3850412846; 71312,7514724731;
73; 57399,1773452759; 61070,7115052271; 70665,0409317017;
74; 56392,4981765747; 60309,3725979948; 69453,7872390747;
75; 56392,4981765747; 60767,986357379; 70590,8576431274;
76; 56384,5552902222; 60768,5145986462; 70262,3751373291;
77; 55974,2253646851; 59945,3077311707; 69039,0851821899;
78; 55974,2253646851; 59508,9679847431; 67815,0069198608;
79; 55490,1953353882; 59133,6480169582; 69290,0121841431;
80; 55441,6587142944; 59213,4525595951; 71128,4636688232;
81; 55274,4010238647; 58769,9575455952; 73270,2263793945;
82; 54590,894859314; 57881,5687541008; 68867,6059799194;
83; 54230,9148025513; 56611,4957436371; 66672,7867660522;
84; 54230,9148025513; 56513,4225810194; 67098,1136398315;
85; 53331,6143264771; 56687,6792622852; 65737,2295150757;
86; 53230,25806427; 56220,3680192566; 66018,5090484619;
87; 52231,6873855591; 55696,3388412619; 65078,6963729858;
88; 52231,6873855591; 55461,6705795431; 63879,257484436;
89; 51967,5815353394; 55821,5185806847; 67838,5901794434;
90; 51832,3564071655; 55955,9265872669; 66839,0114822388;
91; 51568,2505569458; 55482,9352132988; 66085,9250106812;
92; 51092,0537948608; 54597,9923395634; 64024,1222305298;
93; 51092,0537948608; 53079,7585504866; 62747,8237533569;
94; 50180,6048049927; 53548,445042758; 63700,1754989624;
95; 49956,4882888794; 53471,6827204704; 63614,7200164795;
96; 49840,8161697388; 52897,7826211357; 62472,5440750122;
97; 49796,1037826538; 51243,5963309479; 59510,8864059448;
98; 49564,2887954712; 51279,84720222; 61423,7708358765;
99; 48999,5781707764; 52014,7540836382; 62206,2636795044;
100; 48999,5781707764; 51924,5226417541; 62434,3198394775;
101; 48926,9223251343; 51604,2798300266; 59993,2342910767;
102; 48926,9223251343; 51717,1430787134; 60062,5700149536;
103; 48353,77368927; 51811,151009655; 64311,1081771851;
104; 48353,77368927; 51521,1618522167; 60587,024269104;
105; 48353,77368927; 50832,5289272547; 61430,6233978271;
106; 47870,150062561; 50375,1561761999; 59630,2982711792;
107; 47870,150062561; 49751,547767067; 60275,2170257568;
108; 47870,150062561; 50271,7731989193; 62650,4251708984;
109; 47324,7992248535; 50423,9338016415; 61268,19947052;
110; 46841,1755981445; 49771,3662619495; 60980,2618026733;
111; 45950,6720962524; 49181,4371633816; 58646,1254501343;
112; 45950,6720962524; 49076,8797729254; 60146,6188430786;
113; 45709,7997283936; 49250,2085216904; 60378,3896255493;
114; 45709,7997283936; 49169,7428614521; 59965,5631713867;
115; 45709,7997283936; 49254,5929584074; 59789,2206268311;
116; 44081,6940460205; 49094,4675214911; 58519,3738174438;
117; 44081,6940460205; 48866,5630915546; 57655,4763259888;
118; 44081,6940460205; 48702,1372422791; 59315,1151428223;
119; 43703,5037078857; 47190,3894209576; 57887,9178924561;
120; 43571,6462402344; 45798,2187430954; 55370,4407958984;
121; 43571,6462402344; 45208,8570455074; 51466,1756210327;
122; 43571,6462402344; 45474,9437183809; 56481,5947875977;
123; 43109,6069793701; 45908,0045004749; 55031,1389312744;
124; 42798,5685424805; 45635,3241050625; 55886,1382293701;
125; 42741,8809642792; 45262,8859503603; 55461,5666427612;
126; 42475,6203155518; 45249,395065279; 55769,0519256592;
127; 42300,105682373; 45214,4870981741; 53308,2883739471;
128; 42300,105682373; 44949,2533067226; 55455,5742721558;
129; 41101,4931869507; 44222,2215522242; 52639,318862915;
130; 41101,4931869507; 43991,969456358; 52510,0880584717;
131; 41101,4931869507; 44366,2913353491; 54446,1427001953;
132; 41101,4931869507; 44485,58307096; 53296,149597168;
133; 40706,730506897; 44488,4616085815; 54408,8019180298;
134; 40647,8663406372; 43765,044475317; 54620,1569671631;
135; 40530,5716247559; 43527,6707603407; 55247,7372283936;
136; 39816,873588562; 43942,4390171146; 54874,6159591675;
137; 39816,873588562; 44046,1381194067; 57534,1636886597;
138; 39816,873588562; 44277,5374008751; 59082,2590103149;
139; 39747,9409713745; 43622,3603699017; 56006,2924423218;
140; 39653,5873336792; 42681,4671273518; 57046,9410018921;
141; 39482,6178970337; 42137,6420236063; 54234,4778289795;
142; 39441,0015487671; 42340,123442688; 52680,7763671875;
