33609,86699;;BEST;WORST;AVG;STD
34236,26036;;31482;35935;33640;862
32827,5475;;;;;
33965,44554;;;;;
33463,95035;;;;;
33506,6033;;;;;
32872,41242;;;;;
32355,08256;;;;;
32906,80378;;;;;
34738,8888;;;;;
32117,08172;;;;;
33529,94806;;;;;
34257,82842;;;;;
33005,22841;;;;;
32036,36869;;;;;
34450,31932;;;;;
32021,41632;;;;;
31482,01999;;;;;
32280,80183;;;;;
33405,47232;;;;;
33684,08294;;;;;
34496,59399;;;;;
34144,15005;;;;;
31482,01999;;;;;
33082,26337;;;;;
33739,3058;;;;;
33514,07322;;;;;
32775,8973;;;;;
32864,78051;;;;;
33213,78746;;;;;
33830,39962;;;;;
34054,11355;;;;;
34304,45252;;;;;
33517,3604;;;;;
33512,03412;;;;;
35706,32399;;;;;
32928,83194;;;;;
35693,90357;;;;;
32808,48279;;;;;
35203,2283;;;;;
32810,44013;;;;;
33615,21388;;;;;
34619,56491;;;;;
34018,55352;;;;;
34252,32035;;;;;
34067,70934;;;;;
33551,7202;;;;;
33603,03473;;;;;
33507,14119;;;;;
33698,58825;;;;;
32931,25287;;;;;
32878,67386;;;;;
32638,26799;;;;;
34314,27156;;;;;
33760,32606;;;;;
33333,04242;;;;;
33608,93194;;;;;
32786,75639;;;;;
34067,68932;;;;;
32811,91922;;;;;
33210,05599;;;;;
35194,14787;;;;;
33340,43261;;;;;
34284,49001;;;;;
33078,30545;;;;;
32997,98831;;;;;
33612,8726;;;;;
33126,78045;;;;;
33510,37517;;;;;
34686,48426;;;;;
32826,35973;;;;;
34339,3684;;;;;
33502,23059;;;;;
33743,81713;;;;;
32438,96742;;;;;
34291,84752;;;;;
32957,01986;;;;;
32932,29427;;;;;
35107,25464;;;;;
33844,23472;;;;;
33056,68723;;;;;
33552,18717;;;;;
33728,83716;;;;;
34809,21439;;;;;
32567,37406;;;;;
34037,16515;;;;;
33059,61173;;;;;
34351,16197;;;;;
33644,86201;;;;;
32512,88005;;;;;
34110,63572;;;;;
33675,39199;;;;;
35377,10289;;;;;
34366,7209;;;;;
34744,95476;;;;;
32906,33821;;;;;
33997,82077;;;;;
33977,4607;;;;;
35480,7598;;;;;
33906,07798;;;;;
32783,03229;;;;;
35935,28891;;;;;
34093,31076;;;;;
35703,30465;;;;;
34074,1765;;;;;
32480,79266;;;;;
33116,99561;;;;;
33498,35936;;;;;
34012,74919;;;;;
32984,76895;;;;;
35598,40459;;;;;
33452,39597;;;;;
34383,72835;;;;;
33810,39765;;;;;
32833,45118;;;;;
34309,64373;;;;;
32867,96795;;;;;
34492,14785;;;;;
32669,22917;;;;;
32793,71042;;;;;
33216,87734;;;;;
33811,96408;;;;;
32891,63625;;;;;
33500,98251;;;;;
32926,79595;;;;;
34426,6931;;;;;
33320,07895;;;;;
34917,90137;;;;;
34717,88644;;;;;
35141,14931;;;;;
35686,59111;;;;;
33544,42443;;;;;
33377,49971;;;;;
32652,09808;;;;;
33494,37279;;;;;
33594,45421;;;;;
34103,43097;;;;;
33361,95443;;;;;
33333,04242;;;;;
33283,4088;;;;;
34058,03868;;;;;
33733,88803;;;;;
32681,85395;;;;;
33447,08998;;;;;
33026,56105;;;;;
34597,64788;;;;;
33241,58121;;;;;
34084,57964;;;;;
33910,60141;;;;;
32619,10427;;;;;
