264253,1923;;BEST;WORST;AVG;STD
271957,5941;;221533;292867;257645;10131
243552,5963;;;;;
244821,0928;;;;;
261941,602;;;;;
255717,1505;;;;;
254185,2304;;;;;
266180,5104;;;;;
251682,9966;;;;;
263548,4236;;;;;
245552,1808;;;;;
257868,1718;;;;;
272720,9086;;;;;
270789,0651;;;;;
239393,3831;;;;;
257149,6994;;;;;
267097,1606;;;;;
252167,7092;;;;;
259816,882;;;;;
246146,1626;;;;;
268819,1502;;;;;
247181,8602;;;;;
267677,1572;;;;;
253609,644;;;;;
271126,5357;;;;;
259500,7803;;;;;
243431,0752;;;;;
265946,3547;;;;;
251752,9005;;;;;
269924,6357;;;;;
253201,8456;;;;;
262920,8714;;;;;
260815,4552;;;;;
258123,0107;;;;;
263232,697;;;;;
269233,8527;;;;;
262353,2157;;;;;
261289,1743;;;;;
262512,0568;;;;;
264076,5326;;;;;
282414,38;;;;;
258226,1537;;;;;
264442,8626;;;;;
253237,8571;;;;;
262298,2439;;;;;
274473,3793;;;;;
260864,8548;;;;;
243552,2637;;;;;
251156,7388;;;;;
255299,3333;;;;;
273235,8048;;;;;
272220,5508;;;;;
272341,3386;;;;;
255917,1079;;;;;
261833,7699;;;;;
267854,4803;;;;;
243215,48;;;;;
255948,7266;;;;;
258405,739;;;;;
256114,7958;;;;;
258741,654;;;;;
260350,728;;;;;
234985,0934;;;;;
256268,468;;;;;
254230,9587;;;;;
276089,6082;;;;;
262207,6872;;;;;
248875,9654;;;;;
275756,8436;;;;;
264771,5592;;;;;
238495,1338;;;;;
255460,734;;;;;
248708,5492;;;;;
263597,2946;;;;;
241391,6183;;;;;
262864,5522;;;;;
262040,7799;;;;;
277978,2663;;;;;
251304,1838;;;;;
251808,9648;;;;;
247659,8543;;;;;
257437,9568;;;;;
255623,6025;;;;;
242254,9117;;;;;
261628,9884;;;;;
276608,2981;;;;;
259074,8265;;;;;
273048,8134;;;;;
253057,3394;;;;;
267513,8617;;;;;
249311,5318;;;;;
257271,646;;;;;
245683,7058;;;;;
267737,6912;;;;;
272550,8137;;;;;
250205,0813;;;;;
261888,3357;;;;;
252319,0385;;;;;
249769,6742;;;;;
266391,5752;;;;;
248833,7145;;;;;
282324,1594;;;;;
238423,7477;;;;;
259404,9876;;;;;
227504,0578;;;;;
262995,95;;;;;
241886,2335;;;;;
258110,8388;;;;;
266478,5621;;;;;
227731,9514;;;;;
248531,4227;;;;;
240539,4684;;;;;
268294,3664;;;;;
267299,913;;;;;
267791,5974;;;;;
265806,5123;;;;;
259914,5616;;;;;
246187,0327;;;;;
261613,1049;;;;;
278579,5178;;;;;
268716,2958;;;;;
264813,8734;;;;;
257315,5439;;;;;
257968,8312;;;;;
276010,73;;;;;
287830,3663;;;;;
256035,8415;;;;;
265504,0894;;;;;
244825,3227;;;;;
257094,1344;;;;;
260067,556;;;;;
241450,8109;;;;;
237095,6923;;;;;
260428,6126;;;;;
230574,0841;;;;;
246611,4559;;;;;
259865,6449;;;;;
245051,2211;;;;;
243026,2354;;;;;
250432,347;;;;;
258667,9717;;;;;
272512,2868;;;;;
246256,4649;;;;;
248550,6506;;;;;
256921,0021;;;;;
259795,1213;;;;;
251296,1647;;;;;
259457,6873;;;;;
244441,0747;;;;;
246088,8592;;;;;
266692,987;;;;;
255620,6026;;;;;
253755,8961;;;;;
275554,4929;;;;;
264880,5414;;;;;
270695,8641;;;;;
259909,1534;;;;;
261497,1633;;;;;
252162,198;;;;;
279219,7914;;;;;
256903,6451;;;;;
258078,5279;;;;;
264259,4381;;;;;
245094,7968;;;;;
265787,2398;;;;;
263310,2549;;;;;
256819,5799;;;;;
262140,6288;;;;;
251004,3198;;;;;
247794,7751;;;;;
254973,9373;;;;;
232170,522;;;;;
251865,4719;;;;;
261467,2676;;;;;
254462,7225;;;;;
254149,9494;;;;;
260744,9142;;;;;
244467,1167;;;;;
258362,4191;;;;;
