26856,38856;;BEST;WORST;AVG;STD
26133,45179;;24698;28695;27045;812
27033,40078;;;;;
26480,88343;;;;;
28152,69765;;;;;
27063,09728;;;;;
26666,40759;;;;;
26721,87371;;;;;
26686,92007;;;;;
28540,55071;;;;;
28342,64397;;;;;
26571,4584;;;;;
28283,30389;;;;;
27153,95655;;;;;
28261,93094;;;;;
26805,92888;;;;;
28246,97857;;;;;
27214,12038;;;;;
27957,87559;;;;;
26355,20969;;;;;
28018,39692;;;;;
26787,26861;;;;;
27235,24253;;;;;
27389,84379;;;;;
26236,4249;;;;;
26291,09661;;;;;
26679,19144;;;;;
28694,68412;;;;;
26841,01615;;;;;
25648,31348;;;;;
27492,12643;;;;;
27581,56498;;;;;
28243,03857;;;;;
26469,61744;;;;;
26573,59501;;;;;
27385,44601;;;;;
28089,52779;;;;;
27355,44978;;;;;
25879,81623;;;;;
26310,50993;;;;;
26228,19486;;;;;
27906,31618;;;;;
27110,48083;;;;;
25526,92353;;;;;
26488,67997;;;;;
27144,11289;;;;;
27218,40505;;;;;
26435,53403;;;;;
26981,33573;;;;;
25421,83102;;;;;
25944,93754;;;;;
27335,55759;;;;;
26488,90992;;;;;
26133,99371;;;;;
27175,61987;;;;;
27684,33216;;;;;
26743,61251;;;;;
25781,58776;;;;;
27917,24432;;;;;
26784,91236;;;;;
27031,06046;;;;;
26603,47266;;;;;
27018,29682;;;;;
26156,23542;;;;;
26291,09661;;;;;
26262,01879;;;;;
28375,4297;;;;;
25760,68017;;;;;
26729,36567;;;;;
26480,88343;;;;;
26266,27517;;;;;
27825,48641;;;;;
26327,81925;;;;;
28076,72204;;;;;
27227,05383;;;;;
28322,50774;;;;;
27758,90208;;;;;
27383,18868;;;;;
28090,05288;;;;;
27204,45708;;;;;
26209,38783;;;;;
26745,93987;;;;;
27211,44979;;;;;
28506,82552;;;;;
24698,49654;;;;;
26913,39137;;;;;
27132,97416;;;;;
26799,87211;;;;;
28112,24708;;;;;
26712,14912;;;;;
27463,46767;;;;;
26910,31132;;;;;
28351,01936;;;;;
26429,00382;;;;;
28568,72178;;;;;
27344,61306;;;;;
26464,86297;;;;;
26527,7351;;;;;
27385,44601;;;;;
27658,5781;;;;;
