PopSize: 1000 MutationProb: 0,4 CrossoverProb: 0,7 GenCount: 650 Tour: 16; Best; Avg; Worst;
1; 217988,703180313; 242070,538533571; 270361,806991577;
2; 212034,172863007; 231647,811776291; 260740,505016327;
3; 198553,150775909; 223826,97059885; 248541,791229248;
4; 198553,150775909; 218004,360627611; 243761,66509819;
5; 191453,803577423; 211068,582973188; 235484,963348389;
6; 191453,803577423; 202833,937196554; 225647,328063965;
7; 185573,785919189; 198798,625544874; 222566,574958801;
8; 183664,170063019; 194125,868429153; 214012,52545929;
9; 179865,194934845; 190357,927662176; 209635,415645599;
10; 174382,820652008; 186859,925588125; 208189,918758392;
11; 170902,717060089; 183648,873775719; 198869,594287872;
12; 166328,732624054; 179338,649312092; 202161,375274658;
13; 164227,165607452; 174205,657663509; 188958,053207397;
14; 161663,028354645; 171466,763370508; 188111,711532593;
15; 158818,38835907; 168812,778567583; 186360,3842659;
16; 154270,204303741; 165185,434029209; 184182,635360718;
17; 152213,664386749; 162341,454591408; 179660,184074402;
18; 150403,462055206; 158535,587987968; 173950,215435028;
19; 148164,334186554; 154967,996508011; 166588,548999786;
20; 147698,01442337; 152803,04778112; 164615,009479523;
21; 143281,430828094; 152151,333875664; 164273,167713165;
22; 141578,789962769; 150614,108039566; 160529,57592392;
23; 139819,219097137; 146431,371368187; 160697,720996857;
24; 137575,949947357; 144421,891095699; 156684,881328583;
25; 136217,425182343; 143224,496908468; 154591,789745331;
26; 133473,275157928; 141537,79110656; 155351,016651154;
27; 129354,962078094; 138557,955176884; 151611,483882904;
28; 128308,452541351; 135711,844046345; 148774,412670135;
29; 128100,368694305; 134402,82568718; 145809,337795258;
30; 126985,479885101; 132072,973581331; 144273,766429901;
31; 125497,924114227; 130721,02829776; 142703,545246124;
32; 124514,015026093; 130141,220674795; 143562,562114716;
33; 122242,325084686; 129139,737254925; 140652,324230194;
34; 121800,184490204; 128130,836453531; 140672,021564484;
35; 120654,56293869; 126770,122526743; 139143,524532318;
36; 119852,137706757; 125898,674808609; 141032,938091278;
37; 118182,122310638; 124905,139532511; 136353,901165009;
38; 117426,788852692; 122889,163469454; 135699,225215912;
39; 115253,7122612; 121129,083315609; 135398,198131561;
40; 113727,084156036; 120301,394402266; 135487,848964691;
41; 113183,479629517; 119347,403491373; 134009,381664276;
42; 111828,751911163; 117484,814261543; 129963,218067169;
43; 111168,627071381; 116536,457130388; 127682,003749847;
44; 109966,019184113; 115707,986613911; 125569,132446289;
45; 109966,019184113; 114554,854578556; 126889,48330307;
46; 107597,679584503; 114090,714697861; 125573,396045685;
47; 107511,090236664; 113066,994107328; 126551,43529129;
48; 105791,925830841; 111375,142737972; 127252,401432037;
49; 105791,925830841; 111326,541424484; 123413,24388504;
50; 103730,580471039; 110147,321975523; 122120,64623642;
51; 102393,859382629; 108586,806563301; 122743,257598877;
52; 102393,859382629; 107802,225412464; 118824,859668732;
53; 102124,918880463; 106718,231178015; 117316,791225433;
54; 101033,93598175; 105594,416512022; 115325,068901062;
55; 100787,054450989; 104828,228058147; 116492,854988098;
56; 98500,2125167847; 104912,295835796; 115956,556503296;
57; 97882,6814727783; 103906,260606804; 116172,427715302;
58; 97147,1173477173; 103125,048088089; 117759,989952087;
59; 97045,7410507202; 101868,171704926; 113668,742767334;
60; 96188,5087966919; 100572,343980228; 114576,052696228;
61; 95910,7693862915; 100274,568802528; 112274,868293762;
62; 95694,1452789307; 99439,1444247932; 111995,139671326;
63; 94581,4583816528; 98814,2132070198; 110231,736869812;
64; 94190,0332107544; 98323,034471405; 110901,658477783;
65; 93368,2360153198; 97278,4621148148; 109405,872077942;
66; 92961,0489273071; 96190,9799608746; 106089,203559875;
67; 92261,3632774353; 96061,0267213078; 109582,988746643;
68; 91276,3541145325; 95516,3123097858; 105331,726356506;
69; 90442,4519004822; 95188,3934761887; 105507,240821838;
70; 89948,6944236755; 94903,7721680069; 105111,088863373;
71; 88608,9758872986; 93545,6047597218; 104886,371944427;
72; 88601,4358787537; 93356,3032985497; 106681,872005463;
73; 87791,4703636169; 93012,1720570946; 104434,844760895;
74; 87789,1416721344; 92115,6847431393; 103125,419864655;
75; 86515,0125083923; 91475,6531791477; 101309,588115692;
76; 86515,0125083923; 90807,9765506878; 101985,814601898;
77; 86169,288356781; 89749,4091584377; 100624,007305145;
78; 85213,2637901306; 89869,4104685478; 100720,303768158;
79; 84595,9650306702; 88900,6662945709; 100357,482463837;
80; 83994,1071434021; 88186,5456657982; 103776,94210434;
81; 83609,0501976013; 87897,486518652; 98432,6423912048;
82; 83380,768497467; 87268,5988662281; 99322,4935874939;
83; 82183,437587738; 85782,4741447411; 93083,2066917419;
84; 82078,8886985779; 85365,1408887749; 97325,9897117615;
