PopSize: 1000 MutationProb: 0,4 CrossoverProb: 0,7 GenCount: 650 Tour: 16; Best; Avg; Worst;
1; 216147,66318512; 239312,346542805; 264541,049255371;
2; 204893,782424927; 229322,395152037; 256236,428436279;
3; 204893,782424927; 221057,446114651; 253276,754333496;
4; 199642,668930054; 215198,286832098; 242270,724536896;
5; 199642,668930054; 208054,029682592; 230728,580703735;
6; 194599,040847778; 203420,81771999; 215362,167785645;
7; 192742,215698242; 200649,342105288; 212175,852340698;
8; 188468,447814941; 197678,059450605; 210433,894302368;
9; 185535,527557373; 194688,010347248; 209872,086257935;
10; 184661,26776123; 192544,85537388; 206620,294509888;
11; 180277,53289032; 188936,395131786; 201434,173965454;
12; 177607,372238159; 185653,102501774; 197809,650177002;
13; 174303,606910706; 183378,092517225; 202799,531585693;
14; 169544,983909607; 180504,640213043; 195560,608520508;
15; 166815,05305481; 177639,159633842; 195260,416793823;
16; 164819,817687988; 174351,107228058; 186855,788719177;
17; 158751,763877869; 170968,062952063; 185895,245437622;
18; 157365,275718689; 167939,775013483; 181438,301551819;
19; 154812,190483093; 163374,357348969; 180831,694877625;
20; 151076,450523376; 160625,146205826; 175174,966087341;
21; 147404,293693542; 157675,859747913; 176906,807785034;
22; 146495,242744446; 154154,128554173; 165840,554527283;
23; 142546,040077209; 150854,894490421; 165015,695915222;
24; 142528,600654602; 149945,355090652; 166341,112190247;
25; 139259,891090393; 148892,703862034; 163767,801246643;
26; 133877,182991028; 145825,146993723; 162678,700691223;
27; 132643,61315918; 143574,217762951; 162039,139183044;
28; 131001,143577576; 141248,16328582; 159646,438941956;
29; 131001,143577576; 138172,983069031; 157522,855293274;
30; 129390,507209778; 136061,555949913; 149056,572288513;
31; 128723,624778748; 134524,783665157; 149138,442939758;
32; 127008,827381134; 132102,339602604; 145660,17263031;
33; 124664,815452576; 131018,309433662; 142965,449546814;
34; 124282,379901886; 130011,36199449; 142139,527927399;
35; 122766,26688385; 129130,953872604; 142277,558815002;
36; 121367,524040222; 127407,15871735; 142227,101219177;
37; 120210,765724182; 126561,213730457; 138343,191703796;
38; 119759,750732422; 125887,804453835; 140041,051795959;
39; 118882,748466492; 124328,64550886; 138976,369377136;
40; 117264,172080994; 123045,939896946; 136335,013801575;
41; 116898,757514954; 122210,508988861; 134042,513938904;
42; 116052,850639343; 120544,523795221; 132322,740577698;
43; 113529,183479309; 119014,767813303; 128779,831443787;
44; 112336,395973206; 118552,607007473; 128605,779716492;
45; 111829,307167053; 117068,260181812; 129189,797523499;
46; 111251,848083496; 116250,024631187; 128138,887901306;
47; 110699,664833069; 115331,138320515; 125434,79990387;
48; 109254,222419739; 114498,034045815; 125893,444755554;
49; 106798,271812439; 114194,403115526; 126804,36580658;
50; 105328,274681091; 113720,427809912; 125701,123954773;
51; 104929,389083862; 111742,049777994; 127526,791847229;
52; 102507,682319641; 110713,127851553; 128805,847053528;
53; 102126,797775269; 108675,28939134; 120813,454353333;
54; 101488,390724182; 107480,29412388; 120708,581069946;
55; 100144,039230347; 106115,478807962; 120595,690574646;
56; 97569,2909545898; 104067,253088881; 114811,360794067;
57; 97569,2909545898; 103630,104149475; 119905,914413452;
58; 96694,70403862; 102668,89030776; 113752,20640564;
59; 95745,9777832031; 101708,967648932; 111566,661071777;
60; 95698,444152832; 100103,23991909; 112160,75594902;
61; 94680,6294384003; 99518,9609447899; 112520,269592285;
62; 93808,042388916; 98306,3876157131; 109998,674346924;
63; 93808,042388916; 98224,2991141186; 111116,424957275;
64; 92867,8234481812; 98082,4401953506; 108776,72469902;
65; 92188,3114318848; 97212,9328098335; 108011,445814133;
66; 91303,2074203491; 96360,9703154125; 107892,138305664;
67; 90358,6158065796; 95604,2341042843; 111552,491699219;
68; 90358,6158065796; 94126,8677283936; 104304,840843201;
69; 89929,6936264038; 92349,0005157242; 102161,102424622;
70; 88379,0376052856; 92356,1416033134; 104922,913101196;
71; 88379,0376052856; 91984,5816220436; 103533,452400208;
72; 88153,5434646606; 91949,0753470249; 101464,991386414;
73; 87571,3307952881; 91459,7078107147; 107863,50315094;
74; 87376,4910812378; 90172,8469939423; 101886,594558716;
75; 86205,7186050415; 90941,1031439342; 100394,186988831;
76; 86205,7186050415; 90972,1399092007; 100079,182323456;
77; 86205,7186050415; 90634,0946143494; 102234,281997681;
78; 85706,9427871704; 89919,4604514542; 101790,778408051;
79; 85381,9654273987; 88186,0624949799; 99118,6597061157;
80; 85121,7453918457; 88751,2755121956; 99899,8040542603;
81; 83313,736907959; 87882,6682804451; 101723,966339111;
82; 83313,736907959; 88159,686889101; 98862,3749732971;
83; 83199,0161857605; 87862,1600964184; 102207,649497986;
84; 82859,029876709; 86418,9379489479; 97407,7077293396;
85; 82348,7021484375; 85529,1130153809; 98400,0963172913;
86; 81242,9158630371; 85276,938985424; 95503,1552848816;
87; 80741,2380981445; 85400,5028640308; 95957,9180831909;
88; 80336,6967811584; 84649,4972708855; 98735,1361999512;
89; 79226,2690734863; 82662,3551416473; 93348,4676475525;
90; 79226,2690734863; 83285,4620996056; 93621,9382019043;
91; 78602,8578796387; 83165,5303104916; 93355,8755302429;
92; 77987,2862854004; 83211,5597862587; 94312,4770545959;
93; 76774,9889831543; 81843,8718807392; 92588,7761535645;
94; 76774,9889831543; 80347,584356678; 90633,0262756348;
95; 75915,1318664551; 79184,6557243271; 87096,5847167969;
96; 75915,1318664551; 79299,7623595123; 89219,0131225586;
97; 75398,076171875; 78675,8713262711; 89478,2649993896;
98; 74902,1534576416; 78812,4424986153; 89699,1455078125;
99; 74902,1534576416; 77798,944584549; 87691,8224639893;
100; 74105,625213623; 78621,8254869804; 88626,9636154175;
101; 74105,625213623; 77728,4358802223; 86276,6215515137;
102; 73920,4795455933; 76691,4483000641; 87176,9575042725;
103; 73669,5276489258; 76988,903237381; 88003,3190917969;
104; 73328,5230102539; 76288,4483210411; 87323,7873001099;
105; 72744,4266662598; 76552,5071793366; 87249,82421875;
106; 72408,7918701172; 76367,7387366333; 87531,170135498;
107; 71056,7839736938; 75923,3615473061; 85423,0993423462;
108; 71056,7839736938; 75958,7396876183; 86385,5506057739;
109; 70556,0026016235; 75444,5904653778; 85376,6345825195;
