PopSize: 1000 MutationProb: 0,4 CrossoverProb: 0,7 GenCount: 650 Tour: 16; Best; Avg; Worst;
1; 219433,652242661; 241641,264705082; 271894,047729492;
2; 214641,030578613; 230940,816390863; 257601,271820068;
3; 205189,051343918; 224791,804041782; 254912,557630539;
4; 205189,051343918; 220180,093035025; 240061,951812744;
5; 194922,708692551; 216125,152863796; 246286,785949707;
6; 194922,708692551; 208173,179701517; 235889,459928513;
7; 188521,327329636; 202637,909263145; 223279,411245346;
8; 184834,090787888; 195921,847770576; 213308,786802292;
9; 180856,125562668; 190949,458469154; 205073,584379196;
10; 179649,221105576; 188758,765645063; 200103,558012009;
11; 177841,363874435; 186166,418906563; 199989,914398193;
12; 174958,901952744; 183960,17452943; 197393,027006149;
13; 170034,589206696; 180863,860572464; 192842,855482101;
14; 163912,771986008; 176932,567674967; 191718,335706711;
15; 163007,210529327; 173415,172941475; 187581,781896591;
16; 154889,410398483; 170121,049636061; 195529,784864426;
17; 153323,487798691; 166081,133128075; 185906,893205643;
18; 150666,622983932; 159373,776761957; 182124,490818024;
19; 148399,554517746; 155780,62575334; 165690,603971481;
20; 145285,349119186; 154227,467752264; 166942,03619194;
21; 145285,349119186; 152528,051132895; 163996,176054001;
22; 143220,60700798; 150200,594795492; 159545,801420212;
23; 142209,728879929; 148238,876758167; 162254,161283493;
24; 140123,023099899; 146567,969613115; 156950,487241745;
25; 140123,023099899; 144932,455985287; 156921,635450363;
26; 136901,989255905; 142927,838796114; 152000,001630783;
27; 135061,164304733; 142385,202223248; 156230,597028732;
28; 133848,860746384; 139021,410992992; 150183,973340988;
29; 131917,288526535; 137608,079869404; 149436,423246384;
30; 131532,346616745; 136314,935055599; 148780,595075607;
31; 130192,864591599; 134749,532609392; 144563,150159836;
32; 128211,937574387; 134611,6022948; 144920,625715256;
33; 126345,554578781; 133552,097686985; 144725,197904587;
34; 123663,778287888; 131493,64379607; 149353,396940231;
35; 122887,798429489; 129613,508216057; 144738,234327316;
36; 121752,978513718; 126632,689107716; 141128,713651657;
37; 118720,060270309; 125251,758466413; 134278,255338669;
38; 117386,049413681; 124075,376387644; 134928,758375168;
39; 116989,425443649; 122905,521636066; 135432,847723007;
40; 115313,420408249; 121587,311330811; 132899,212705612;
41; 112451,669797897; 119736,082920488; 131912,952672958;
42; 112451,669797897; 117851,505737078; 133096,819227219;
43; 111183,644762039; 116798,512658756; 128587,228162766;
44; 109423,804990768; 116044,369639624; 127483,511991501;
45; 108570,398832321; 114482,346974058; 125564,372343063;
46; 106444,797826767; 112625,229743935; 123607,596845627;
47; 106444,797826767; 111274,98026642; 122724,804235458;
48; 104431,024663925; 110092,888113169; 119842,308866501;
49; 103012,060861588; 108912,219698742; 120520,422864914;
50; 101932,023065567; 107512,032401104; 119295,607938766;
51; 101476,306955338; 106561,256084732; 119034,302179337;
52; 100604,987844467; 106113,214629572; 115907,449438095;
53; 99861,8392276764; 103956,85801342; 117583,263650894;
54; 98420,9544620514; 102821,903853546; 112824,107122421;
55; 97615,3524532318; 101418,90243779; 113605,818105698;
56; 96463,26445961; 100973,227679031; 109284,788049698;
57; 95843,0132312775; 100385,859363735; 112122,117879868;
58; 94850,3519496918; 99980,0229285049; 111967,419593811;
59; 94850,3519496918; 99127,7410795078; 109233,951015472;
60; 94127,8121204376; 98687,8988414517; 110878,240530014;
61; 93338,6328220367; 98578,471628067; 110414,95731163;
62; 93004,2317371368; 97633,5531159515; 108576,965400696;
63; 91425,18608284; 97183,0422976246; 108993,262723923;
64; 91425,18608284; 96643,3258402061; 111248,080560684;
65; 89681,9612140656; 95928,7604706593; 106624,765611649;
66; 89681,9612140656; 95341,440862442; 109105,58244133;
67; 88020,5150928497; 93482,5547475624; 103130,942918777;
68; 88020,5150928497; 93080,5409075623; 105369,329057693;
69; 87866,0125865936; 91086,7463295822; 105422,796388626;
70; 86403,8429737091; 89876,5577104912; 101816,426820755;
71; 86204,5664653778; 89407,9427646599; 101800,948595047;
72; 85266,0669841766; 89993,4542209454; 102454,091245651;
73; 84837,7854480743; 88908,916879427; 101478,644441605;
74; 83645,7243976593; 87188,680909893; 95510,984457016;
75; 81926,8824596405; 86321,5448763428; 95030,2076587677;
76; 81406,1297893524; 85800,4300661945; 95957,5090122223;
77; 81077,4358348846; 85844,5316752338; 96212,1042499542;
78; 80800,032743454; 84959,3278373585; 97569,8760204315;
79; 80055,6650676727; 83253,1884939652; 98370,8656368256;
80; 79925,0146465302; 83383,2174691277; 93656,6989574432;
81; 79132,7559871674; 82640,4153942375; 92913,0986995697;
82; 78822,4695491791; 83022,4870405731; 94839,9339885712;
83; 78540,639043808; 82514,6268637581; 95190,3486003876;
84; 77336,9931468964; 82259,287023346; 93488,3020992279;
85; 76959,1531810761; 81328,5385482368; 95103,2434825897;
86; 76376,2446575165; 81342,2968990307; 93396,7543315887;
87; 76376,2446575165; 80782,0824084969; 93378,0670909882;
88; 76140,6372852325; 80013,1677000484; 90857,9921131134;
89; 75004,7746257782; 79698,9914536514; 93296,5369167328;
90; 73535,3675518036; 79140,9699372139; 92081,8936634064;
91; 73535,3675518036; 79234,2487675171; 92134,2246875763;
92; 73099,6062831879; 78874,8260303822; 90013,7465267181;
93; 72870,5314617157; 76666,7121028748; 89159,0205364227;
94; 72784,3966503143; 74795,7398873768; 85448,8887081146;
95; 71937,0263118744; 75102,3145876885; 85384,971654892;
96; 71490,9214458466; 74220,70992733; 82389,3728466034;
97; 70606,8615627289; 74287,9701304092; 83802,5477275848;
98; 69892,5802059174; 73749,6065756111; 83352,4425945282;
99; 69613,2811183929; 73529,0421738319; 82602,6432552338;
100; 68443,3729915619; 72587,4522851696; 83654,2993412018;
101; 67917,6334590912; 71476,7631382732; 82552,0742168427;
102; 67811,5760555267; 71776,2610062885; 84035,1056041718;
103; 67408,2572383881; 71370,9126960907; 83370,3893413544;
104; 67259,5071468353; 70551,120356514; 82268,6526699066;
105; 66619,3426876068; 69963,749810585; 79476,7128200531;
106; 66529,5719738007; 70082,1836426525; 79748,7009029388;
107; 66160,7291240692; 70248,170314846; 82661,2774105072;
108; 66094,5044536591; 69526,7497288075; 79432,6343364716;
109; 65249,690366745; 68580,5035199547; 80880,6062679291;
110; 65249,690366745; 67685,2385780029; 80391,6834850311;
111; 64442,6419658661; 67520,3440097961; 78661,736207962;
112; 64430,1835613251; 67677,4346228237; 77396,1069469452;
113; 64203,5233135223; 67110,0800997963; 77697,7826099396;
114; 63419,7086772919; 67247,7817093449; 78346,8302173615;
115; 63390,6346721649; 66898,9657621937; 77812,355260849;
116; 63390,6346721649; 67190,9209149494; 78318,1572551727;
117; 62887,8082103729; 66152,0204921436; 79383,8945140839;
118; 62763,6093502045; 64898,4040525322; 74243,6748867035;
119; 62521,4002361298; 65353,1102411137; 74589,7455730438;
120; 61969,2518825531; 65312,3772280769; 74200,6502590179;
121; 61653,1258220673; 64933,316159296; 74976,7720088959;
122; 61653,1258220673; 63815,1838674164; 74845,3925609589;
123; 61478,7057094574; 63374,0098948002; 73018,671705246;
124; 60979,1479091644; 63878,0528849621; 73508,9013767242;
125; 60855,2874660492; 63267,3289809399; 77080,4683132172;
126; 60770,1769771576; 64453,1134438839; 75578,4972820282;
127; 60770,1769771576; 64901,3083053131; 74903,9864940643;
128; 60157,9457912445; 64044,2960509796; 75574,3531398773;
129; 60157,9457912445; 64024,0721550789; 74991,2671871185;
130; 59470,4278049469; 63718,5293776131; 74795,5423526764;
131; 59357,0632648468; 62828,1959413071; 74562,3295040131;
132; 59002,9397029877; 62422,0821252098; 74700,5982341766;
133; 58286,6787128448; 62009,6737930279; 75088,65275383;
134; 57915,1219806671; 61852,4124781551; 72617,7701663971;
135; 57606,5340213776; 61283,6441887302; 72145,0448322296;
136; 57606,5340213776; 59918,1956675491; 70241,1804027557;
137; 57204,2991275787; 60532,7420384293; 71866,4422245026;
138; 56642,4233951569; 60637,1108809319; 70890,9056568146;
139; 56240,188501358; 60324,0627380333; 70045,7033252716;
140; 55913,0727176666; 59107,7379416695; 69898,4966754913;
141; 55899,2654209137; 57803,1536947269; 67516,3868427277;
142; 55598,7751026154; 57872,7155549183; 66880,4025745392;
143; 55552,0500888824; 58159,4174077816; 68810,849237442;
144; 55277,3296070099; 58142,1985275688; 70333,8362751007;
145; 55133,4645557404; 57425,4364756584; 69841,0306339264;
146; 54808,5083179474; 58221,365248251; 68688,2052631378;
147; 54486,8663654327; 57429,3570721111; 69183,2828006744;
148; 54486,8663654327; 57298,0501644173; 70427,0490207672;
149; 54486,8663654327; 58051,5167998333; 70043,2175006866;
150; 54326,1082324982; 57555,4602458267; 68245,9467792511;
151; 54124,0436420441; 57196,470349369; 68595,7421207428;
152; 54124,0436420441; 57047,841702343; 68588,8304462433;
153; 53736,0280323029; 55977,8625374012; 67371,8739948273;
154; 53272,5190601349; 56785,3456658325; 68750,13189888;
155; 53238,930803299; 56612,7440588226; 69759,2151889801;
156; 53238,930803299; 55656,2954374294; 66090,3569736481;
157; 52339,5124073029; 56297,9303250465; 68338,6246356964;
158; 52339,5124073029; 55761,4126602554; 66675,6050739288;
159; 52264,4985980988; 55287,4934655457; 67518,6746768951;
160; 52264,4985980988; 55480,1641673241; 66271,9901828766;
161; 51862,2868824005; 53437,3144805584; 61158,3488788605;
162; 51692,6853046417; 53678,6340693989; 65722,7651233673;
163; 51082,4135913849; 54386,4987714691; 64969,5231590271;
164; 50913,8222675323; 54126,7267979679; 64862,8234043121;
165; 50648,2337207794; 53015,9459280205; 62910,8845081329;
166; 50241,9133472443; 52811,71528895; 62790,7728748322;
167; 49707,8803882599; 52679,4902116852; 64556,6665668488;
168; 49693,4148731232; 52789,9226992245; 62806,4414844513;
169; 49079,0355396271; 52088,450522253; 62646,6715259552;
170; 49079,0355396271; 50745,5071425877; 61260,5777835846;
171; 48733,6424121857; 50340,0685578041; 57060,4767856598;
172; 48733,6424121857; 50501,9199030857; 59501,5458087921;
173; 48567,6434955597; 51359,2928167057; 60506,2250232697;
174; 48333,7193470001; 50504,64185392; 60023,245141983;
175; 47876,1427173615; 50470,9904301147; 63212,7866611481;
