PopSize: 1000 MutationProb: 0,4 CrossoverProb: 0,7 GenCount: 650 Tour: 16; Best; Avg; Worst;
1; 211956,560089111; 240793,900738209; 266176,923706055;
2; 206544,271217346; 228395,97542584; 258733,425201416;
3; 194988,705604553; 218305,837698704; 243059,731491089;
4; 187269,278038025; 206691,74248978; 232320,583496094;
5; 178963,424324036; 197667,073966194; 222750,041732788;
6; 178963,424324036; 191166,77916362; 210930,476417542;
7; 170700,52596283; 185632,073908253; 204649,214561462;
8; 170499,508735657; 180979,943030354; 196342,330238342;
9; 168272,794670105; 177019,809861362; 193012,005683899;
10; 165276,118141174; 172190,635319305; 184051,252029419;
11; 161431,465583801; 170461,955594032; 180537,200660706;
12; 155410,410907745; 167678,624425896; 180981,714515686;
13; 155410,410907745; 163286,926852196; 176611,186775208;
14; 151413,598747253; 161244,145387692; 177669,1039505;
15; 150652,667636871; 157936,420895327; 169930,498786926;
16; 145312,390613556; 155876,690055048; 165667,477649689;
17; 145312,390613556; 154282,035318588; 167031,793128967;
18; 143210,518909454; 152441,378400995; 168719,379615784;
19; 141059,571372986; 148752,294122284; 161725,095680237;
20; 139958,611164093; 145647,597907436; 154083,001178741;
21; 138087,108024597; 143568,620083485; 154469,683006287;
22; 134770,128406525; 142527,923200512; 153635,586654663;
23; 132417,715991974; 140948,969310049; 150601,14540863;
24; 131034,657306671; 137995,557611084; 150141,355461121;
25; 129572,593528748; 135588,160215504; 147669,871269226;
26; 126364,4972229; 133815,8472092; 145178,270038605;
27; 126364,4972229; 131785,121691374; 144359,005180359;
28; 124632,238117218; 130701,642599337; 142486,675720215;
29; 123659,978046417; 128796,804726608; 139287,909736633;
30; 122841,819965363; 128022,534333839; 141178,024513245;
31; 120602,793869019; 127097,203466515; 140121,892829895;
32; 119326,857898712; 126080,05812582; 139781,470844269;
33; 119297,002128601; 124246,080882153; 134955,463748932;
34; 118135,229236603; 123261,063968147; 136422,212203979;
35; 114936,345905304; 122495,531930105; 133438,84810257;
36; 114936,345905304; 121456,944369425; 133357,505561829;
37; 114603,667011261; 120970,750685444; 132207,194541931;
38; 111860,139743805; 119530,587438034; 133477,155155182;
39; 111860,139743805; 116613,937434132; 128867,260765076;
40; 111774,122653961; 116397,771006157; 125504,976459503;
41; 110344,543643951; 115297,882741123; 125427,786693573;
42; 110081,768878937; 113415,006277203; 123936,162448883;
43; 108376,92572403; 112821,434088535; 124695,717517853;
44; 107850,336673737; 112135,875129684; 123830,541416168;
45; 106716,516727448; 110308,473446943; 122747,254444122;
46; 105852,795871735; 110267,788941269; 123566,749233246;
47; 105703,610263824; 109988,976912922; 124190,175487518;
48; 104723,661838531; 109138,610474297; 121741,0349617;
49; 103430,055316925; 108559,909430502; 118772,443004608;
50; 103331,556110382; 108110,282558655; 120591,751438141;
51; 101911,622959137; 106960,263644226; 116157,554355621;
52; 101284,571994781; 106000,16186854; 118376,028366089;
53; 99805,9925270081; 105165,579919758; 117671,243350983;
54; 99741,5807228088; 103542,594574802; 116355,391925812;
55; 98742,6199378967; 102465,508695732; 114597,149692535;
56; 97940,6717720032; 101763,001553759; 112424,392963409;
57; 97940,6717720032; 101672,526927101; 113895,0583992;
58; 97440,4586219788; 100923,968642418; 111326,439945221;
59; 96209,4317207336; 99864,3758820496; 108981,470165253;
60; 95207,3331336975; 99990,0531633034; 110800,516208649;
61; 93783,3409385681; 98931,571434845; 109502,595111847;
62; 93398,8822364807; 97459,282724514; 108482,794399261;
63; 92424,4844932556; 97028,1867909393; 106449,320087433;
64; 91358,1665534973; 96554,548475132; 106690,352214813;
65; 90560,7116966248; 95322,3541383305; 108458,660419464;
66; 90560,7116966248; 93989,5664895668; 106036,305316925;
67; 90012,3229255676; 94322,9337788773; 106161,979259491;
68; 89767,7082023621; 93630,963928648; 103336,343006134;
69; 89130,9669685364; 92389,5440570278; 102121,343990326;
70; 88956,0047569275; 93065,7943648777; 106083,826328278;
71; 87870,2563591003; 92260,4618583241; 103442,928958893;
72; 87384,2413597107; 91693,536587204; 102594,127788544;
73; 86988,9004020691; 91448,2615331917; 102915,341377258;
74; 86499,8942451477; 90246,5140778561; 101875,257892609;
75; 85414,2533073425; 89509,8651842022; 101047,712413788;
76; 85151,4131584167; 88565,938703083; 97591,9911842346;
77; 84617,4017295837; 88243,2275390816; 97713,0905456543;
78; 83351,081363678; 86744,9517346802; 96246,2330131531;
79; 82603,239238739; 85960,6207380066; 95812,7763252258;
80; 82279,9866752625; 84763,5128845596; 95741,6594200134;
81; 80887,0005302429; 84526,6982938843; 94777,3733711243;
82; 80887,0005302429; 84856,8910827293; 95578,7385749817;
83; 80058,046169281; 85236,9904536476; 94053,0213508606;
84; 78804,0766372681; 84297,4162156258; 97285,7553062439;
85; 78804,0766372681; 82601,9661523476; 93321,0211753845;
86; 77992,0651931763; 81410,0183049946; 94131,9176445007;
87; 77992,0651931763; 82235,4014452896; 94902,1183280945;
88; 77639,2957839966; 80865,1362026939; 93176,8365287781;
89; 76977,6876754761; 80468,6811596146; 92916,1918716431;
90; 76486,0307388306; 79958,1578415031; 90828,410949707;
91; 75407,438835144; 79634,8641664772; 90651,828956604;
92; 75407,438835144; 78999,7104312553; 89405,4765625;
93; 74064,1308517456; 79020,0426655121; 88862,0020675659;
94; 73488,9900131226; 78492,8705815353; 90731,6976089478;
95; 73095,438835144; 76751,8986102638; 87877,4449081421;
96; 72913,3383102417; 75631,3969448052; 86669,365524292;
97; 72570,1066131592; 74775,3949769211; 83465,6751480103;
98; 71334,1887283325; 74382,892261261; 83747,8363418579;
99; 71334,1887283325; 74956,6050793152; 85213,1001968384;
100; 70384,4780349731; 73927,2474335403; 84094,3472747803;
101; 70052,2315750122; 73037,6460788078; 81980,6466369629;
102; 69524,9190139771; 72143,8254443703; 80726,1893386841;
103; 69372,6194839478; 71316,9077929764; 81035,8749465942;
104; 68823,7122268677; 71088,8381009007; 77711,1236495972;
105; 68816,9236831665; 71990,1455160065; 82670,2234115601;
106; 68241,2369918823; 71570,2336122551; 83070,1812057495;
107; 67925,6769943237; 70383,0889663925; 84765,5733108521;
108; 67742,4110031128; 70779,6682319012; 79711,5891342163;
109; 67371,7695236206; 70767,6290649109; 82466,0374526978;
110; 66818,3050918579; 70746,8634172764; 80241,1899337769;
111; 66818,3050918579; 70654,478133976; 81542,9565658569;
112; 66264,3976211548; 70186,4452179718; 82639,5038070679;
113; 65637,1753463745; 69017,1118720856; 82182,103729248;
114; 65472,029838562; 68043,2587759285; 76239,0945281982;
115; 64786,2898483276; 68194,1153735809; 77959,8650970459;
116; 64786,2898483276; 68382,5844322186; 77558,2084579468;
117; 64473,7803268433; 68278,3570139847; 79044,6548080444;
118; 63893,9069042206; 66867,5519296856; 76371,1545944214;
119; 63801,8969554901; 66300,0090225182; 75515,085105896;
120; 63520,1215648651; 66731,6037815323; 77570,5628204346;
121; 63182,8518199921; 66465,3331895008; 76531,8529491425;
122; 62707,5564250946; 65650,5147696915; 76330,9796581268;
123; 62707,5564250946; 65481,0832719192; 75819,8045635223;
