PopSize: 1000 MutationProb: 0,4 CrossoverProb: 0,7 GenCount: 650 Tour: 16; Best; Avg; Worst;
1; 216448,065628052; 239979,328937601; 266258,053649902;
2; 206997,399307251; 227254,185524652; 254759,143630981;
3; 198452,147254944; 219121,540678207; 243892,48765564;
4; 198452,147254944; 213963,630089563; 232647,347724915;
5; 195920,086524963; 207661,732227936; 226480,53565979;
6; 188382,516181946; 201482,215821123; 219830,983978271;
7; 188382,516181946; 198028,060953426; 212869,019554138;
8; 183969,571723938; 194435,699175116; 211227,346069336;
9; 181528,221809387; 189472,414120388; 202071,930931091;
10; 178643,776557922; 186965,83759038; 198558,147758484;
11; 176300,963432312; 183571,237253323; 194334,637031555;
12; 172964,732963562; 181254,048759712; 193846,093605042;
13; 169297,674842834; 178432,79975338; 190059,514854431;
14; 168914,075645447; 177051,168153366; 189935,304069519;
15; 165727,307975769; 174650,408009556; 192281,74155426;
16; 162864,260040283; 171333,938909634; 187430,17224884;
17; 158388,847991943; 168070,047160789; 181161,131538391;
18; 157641,960296631; 165336,521931196; 180040,89806366;
19; 155364,17351532; 164011,008160561; 177702,139671326;
20; 154082,092567444; 159960,641322748; 174091,597366333;
21; 150517,770751953; 158487,326181612; 174252,694755554;
22; 149262,052825928; 157437,571059433; 172569,455886841;
23; 146992,873218536; 154885,786290964; 168887,703426361;
24; 144819,935928345; 152104,759405167; 165274,442676544;
25; 142135,875835419; 150118,935601851; 163989,657108307;
26; 140544,050048828; 148600,757210518; 161225,906959534;
27; 138104,146678925; 145988,935978954; 158747,342163086;
28; 134811,2290802; 142891,989336681; 154727,15045166;
29; 134811,2290802; 141572,746003874; 161395,289459229;
30; 133801,628646851; 140111,986096033; 151705,994766235;
31; 131811,143844604; 137676,822730915; 150248,457107544;
32; 130203,044635773; 136191,36815884; 147055,457168579;
33; 130203,044635773; 135239,513158009; 149001,200210571;
34; 127995,354232788; 134074,930920557; 148359,597312927;
35; 125627,657852173; 132775,093937286; 145826,622108459;
36; 123226,625564575; 131590,104624538; 146514,661560059;
37; 123226,625564575; 129785,240357262; 141121,091567993;
38; 122331,087478638; 128461,373428709; 141540,600982666;
39; 120706,742233276; 126083,890097694; 139814,807952881;
40; 119679,115707397; 124527,944059397; 137747,287246704;
41; 116659,231086731; 123634,29498624; 133759,258117676;
42; 116659,231086731; 122952,774383888; 134208,171081543;
43; 115336,983573914; 121809,775592249; 132227,384750366;
44; 113343,10811615; 119347,994358398; 130084,981834412;
45; 113343,10811615; 118264,037958269; 132145,006912231;
46; 110817,40189743; 118010,582075695; 131244,087104797;
47; 110817,40189743; 116272,174403221; 129115,236152649;
48; 109495,238750458; 114872,76975367; 126557,289970398;
49; 109451,635570526; 115106,495333431; 128525,459571838;
50; 108898,744152069; 112670,691541424; 128017,297966003;
51; 106901,061016083; 111557,865863865; 122147,698932648;
52; 106901,061016083; 110840,969437656; 120943,167133331;
53; 105348,932201385; 110462,164296686; 121078,481426239;
54; 103722,996181488; 109973,717397663; 121045,881767273;
55; 103491,755580902; 108556,774044516; 121515,113353729;
56; 101618,842510223; 106713,343369026; 118701,990245819;
57; 100954,729824066; 105369,106227196; 120532,417934418;
58; 99665,625957489; 104227,923238853; 115125,793544769;
59; 99031,4350395203; 104261,240589905; 114182,525539398;
60; 98145,8701286316; 103372,589788126; 118785,427791595;
61; 97938,3225517273; 102398,352200846; 116554,803432465;
62; 96276,092754364; 101014,036026482; 111529,073741913;
63; 95825,6051979065; 100087,83220031; 112438,177764893;
64; 94445,8015327454; 99503,6597033768; 111048,534618378;
65; 93425,1027107239; 98897,7500377922; 109136,715709686;
66; 92586,0358924866; 98535,8583357925; 111154,206546783;
